Дата запуска ПЛАН;Дата запуска ФАКТ;Заказчик/Сортамент;Изделие;№ заказа;Партия;Остаточная потребность;Обеспеченность;Проблема;Дата закрытия дефицита;Примечание МТО;Примечание ПО
;;Труба 351х8 ГОСТ 8732-78 09Г2С-12 ГОСТ 19281-2014;;;;639.112;;;;;
;;Труба 51х3,5 ГОСТ 8732-78 09Г2С-12 ГОСТ 19281-2014;;;;40.602;;;;;
2020-03-12;;ГПН-РАЗВИТИЕ ООО;Сооружение   антенно-мачтовое МСТ-13,0-С.IV Технические требования 1000/9-010-СС.ТТ;218.0;1.0;;0.03428818705001635;;;;
;;Лист 16 ГОСТ 19903-74 09Г2С-12 ГОСТ 19281-2014;;;;73.059;;;;;
;;Уголок 40х40х5 ГОСТ 8509-86 09Г2С-12 ГОСТ 19281-2014;;;;8.812000000000001;;;;;
;;Круг 36 ГОСТ 2590-2006 09Г2С-12 ГОСТ 19281-2014;;;;15.359000000000002;;;;;
;;Труба 203х9 ГОСТ 8732-78 09Г2С-12 ГОСТ 19821-2014;;;;139.64600000000002;;;;;
;;Труба 245х9 ГОСТ 8732-78 09Г2С-12 ГОСТ 19281-2014;;;;273.527;;;;;
;;Труба 351х8 ГОСТ 8732-78 09Г2С-12 ГОСТ 19281-2014;;;;319.556;;;;;
;;Труба 51х3,5 ГОСТ 8732-78 09Г2С-12 ГОСТ 19281-2014;;;;20.301;;;;;
2020-03-12;;ГПН-РАЗВИТИЕ ООО;Сооружение   антенно-мачтовое МСТ-13,0-С.IV Технические требования 1000/9-011-СС.ТТ;219.0;1.0;;0.11726743968134434;;;;
;;Уголок 40х40х5 ГОСТ 8509-86 09Г2С-12 ГОСТ 19281-2014;;;;8.812000000000001;;;;;
;;Круг 36 ГОСТ 2590-2006 09Г2С-12 ГОСТ 19281-2014;;;;15.359000000000002;;;;;
;;Труба 203х9 ГОСТ 8732-78 09Г2С-12 ГОСТ 19821-2014;;;;139.64600000000002;;;;;
;;Труба 245х9 ГОСТ 8732-78 09Г2С-12 ГОСТ 19281-2014;;;;273.527;;;;;
;;Труба 351х8 ГОСТ 8732-78 09Г2С-12 ГОСТ 19281-2014;;;;319.556;;;;;
;;Труба 51х3,5 ГОСТ 8732-78 09Г2С-12 ГОСТ 19281-2014;;;;20.301;;;;;
2020-03-09;;ПРОМЫШЛЕННЫЕ ТЕХНОЛОГИИ ООО;"Опора анкерная угловая АУ10ГИ-1 Проект: ОЭМЗ-ОГП-ТП.ВЛЗ.010.001 ; Фундамент ФС.325.1.800.9 Про";284.0;1.0;;0.4830179041883973;;;;
;;Лист 8 ГОСТ 19903-74 С345-3 ГОСТ 27772-2015;;;;246.24;;;;;
;;Лист 4 ГОСТ 19903-74 С345-3 ГОСТ 27772-2015;;;;7754.52;;Изменение потребности (15051.12->15054.52);;;
;;Лист 16 ГОСТ 19903-74 09Г2С-12 ГОСТ 19281-2014;;;;517.84;;;;;
;;Круг 16 ГОСТ 2590-2006 С345-3 ГОСТ 27772-2015;;;;240.52;;;;;
;;Труба 325х9 ГОСТ 10704-91 09Г2С-12 ГОСТ 19281-2014;;;;1280.458;;Не было в этом периоде;;;
;;Труба 219х10 ГОСТ 8732-78 09Г2С-12 ГОСТ 19281-2014;;;;2634.28;;;;;
;;Труба 325х9 ГОСТ 8732-78 09Г2С-12 ГОСТ 19281-2014;;;;868.9700000000003;;;;;
;;Труба 219х9 ГОСТ 8732-78 09Г2С-12 ГОСТ 19281-2014;;;;2610.16;;;;;
;;Табличка 63х80 12Х18Н10Т;;;;0.8;;Не было в этом периоде;;;
2020-03-15;;ГАЗПРОМНЕФТЬ-ЗАПОЛЯРЬЕ ООО;Молниеотвод МС-31,7 Проект: 3.407.9-172;289.0;1.0;;0.3617351136021848;;;;
;;Лист 8 ГОСТ 19903-74 09Г2С-12 ГОСТ 19281-2014;;;;80.74;;;;;
;;Лист 20 ГОСТ 19903-74 09Г2С-12 ГОСТ 19281-2014;;;;80.431;;;;;
;;Уголок 40х40х4 ГОСТ 8509-86 09Г2С-12 ГОСТ 19281-2014;;;;226.24900000000002;;;;;
;;Уголок 63х63х5 ГОСТ 8509-86 09Г2С-12 ГОСТ 19281-2014;;;;215.312;;;;;
;;Уголок 80х80х6 ГОСТ 8509-86 09Г2С-12 ГОСТ 19281-2014;;;;374.722;;;;;
;;Уголок 45х45х4 ГОСТ 8509-86 09Г2С-12 ГОСТ 19281-2014;;;;189.546;;;;;
;;Уголок 90х90х7 ГОСТ 8509-86 09Г2С-12 ГОСТ 19281-2014;;;;82.902;;;;;
2020-03-10;;Омский ЭМЗ;Стол для плазмы;509.0;1.0;;0.6633466411325741;;;;
;;Лист 4 ГОСТ 19903-74 ст3 ГОСТ 380-2005;;;;340.335;;;;;
2020-03-10;;ГАС ООО;Металлоконструкции   антенной опоры Н=30м РД 20-6189-КМ-I-30-10 В комплекте светоограждение (;2145.0;1.0;;0.5623827952484405;;;;
;;Лист 5 ГОСТ 19903-74 09Г2С-15 ГОСТ 19281-2014;;;;2.512;;;;;
;;Лист 8 ГОСТ 19903-74 09Г2С-15 ГОСТ 19281-2014;;;;1102.729;;;;;
;;Лист 25 ГОСТ 19903-74 09Г2С-15 ГОСТ 19281-2014;;;;131.558;;;;;
;;Уголок 40х40х4 ГОСТ 8509-86 09Г2С-15 ГОСТ 19281-2014;;;;50.742;;;;;
;;Труба 114х5 ГОСТ 8732-78 09Г2С-15 ГОСТ 19281-2014;;;;10.775999999999952;;;;;
;;Труба 102х4 ГОСТ 8732-78 09Г2С-15 ГОСТ 19281-2014;;;;4.30600000000004;;;;;
;;Швеллер гнутый 120х60х60х4 ГОСТ 8278-83 09Г2С-15 ГОСТ 19281-2014;;;;580.817;;;;;
;;Швеллер гнутый 100х50х50х4 ГОСТ 8278-83 09Г2С-15 ГОСТ 19281-2014;;;;845.7310000000001;;;;;
;;Труба 36х3 ГОСТ 10704-91 09Г2С-15 ГОСТ 19281-2014;;;;285.267;;;;;
;;Труба ДУ 20х26,8х2,8 ГОСТ 3262-75 ст3 ГОСТ 380-2005;;;;8.471;;;;;
;;Труба 63,5х4 ГОСТ 8732-78 09Г2С-15 ГОСТ 19821-2014;;;;1046.682;;;;;
2020-03-06;;ЭнергоПроект-Инжиниринг ООО;Анкерно-угловая опора У110-2 Проект: 3078тм;2152.0;1.0;;0.9999974597778042;;;;
;;Табличка 63х80 12Х18Н10Т;;;;0.02;;Изменение даты (05.03.2020->06.03.2020);;;
2020-03-14;;ЭнергоПроект-Инжиниринг ООО;Балка Б35-4-24 Проект: 3.407.9-146;2156.0;1.0;;0.6918729665040593;;;;
;;Швеллер 24 У ГОСТ 8240-89 09Г2С-12 ГОСТ 19281-2014;;;;1134.928;;;;;
2020-03-06;;ЭнергоПроект-Инжиниринг ООО;Анкерно-угловая опора У110-2+9 Проект: 3078тм;2159.0;1.0;;0.9730208087249259;;;;
;;Уголок 110х110х8 ГОСТ 8509-86 09Г2С-12 ГОСТ 19281-2014;;;;1637.1040000000007;;Изменение даты (05.03.2020->06.03.2020);;;
;;Уголок 160х160х10 ГОСТ 8509-86 09Г2С-12 ГОСТ 19281-2014;;;;619.961;;Изменение даты (05.03.2020->06.03.2020);;;
;;Табличка 63х80 12Х18Н10Т;;;;0.14;;Изменение даты (05.03.2020->06.03.2020);;;
2020-03-15;;ЭнергоПроект-Инжиниринг ООО;Анкерно-угловая опора У110-2+9 Проект: 3078тм;2159.0;2.0;;0.5072922362146552;;;;
;;Уголок 110х110х8 ГОСТ 8509-86 09Г2С-12 ГОСТ 19281-2014;;;;2979.0;;;;;
;;Уголок 80х80х6 ГОСТ 8509-86 09Г2С-12 ГОСТ 19281-2014;;;;1112.9560000000001;;;;;
;;Уголок 160х160х10 ГОСТ 8509-86 09Г2С-12 ГОСТ 19281-2014;;;;2206.846;;;;;
;;Уголок 90х90х7 ГОСТ 8509-86 09Г2С-12 ГОСТ 19281-2014;;;;5478.938;;;;;
;;Табличка 63х80 12Х18Н10Т;;;;0.04;;;;;
2020-03-02;;ЭнергоПроект-Инжиниринг ООО;Балка   Б235-20 Чертеж: 1182-2-2017-Р-ЭВ-01-Ч-005;2162.0;1.0;;0.972202058157906;;;;
;;Швеллер 20 У ГОСТ 8240-89 09Г2С-12 ГОСТ 19281-2014;;;;187.48800000000008;;;;;
2020-02-27;;ЭнергоПроект-Инжиниринг ООО;"Опора промежуточная 2ПГ35/110-4,110ТМ Проект: ОЭМЗ-КР-ТП.ВЛ.35/110/220.002 ; Подставка П13.5";2178.0;1.0;;0.9899465620416397;;;;
;;Лист 20 ГОСТ 19903-74 09Г2С-12 ГОСТ 19281-2014;;;;43.771;;;;;
2020-03-03;;ТАВРИДА ЭЛЕКТРИК ОМСК ООО;Площадка ПОВ-1Х Проект: ОГ-ТП.010.13-00;2179.0;1.0;;0.8662085343398478;;;;
;;Уголок 63х63х5 ГОСТ 8509-86 09Г2С-12 ГОСТ 19281-2014;;;;23.296999999999997;;;;;
;;Круг 6 ГОСТ 2590-2006 09Г2С-12 ГОСТ 19281-2014;;;;0.027000000000000003;;;;;
2020-03-03;;ТАВРИДА ЭЛЕКТРИК ОМСК ООО;Площадка ПОВ-1Х Проект: ОГ-ТП.010.13-00;2244.0;1.0;;0.8662085343398478;;;;
;;Уголок 63х63х5 ГОСТ 8509-86 09Г2С-12 ГОСТ 19281-2014;;;;23.296999999999997;;;;;
;;Круг 6 ГОСТ 2590-2006 09Г2С-12 ГОСТ 19281-2014;;;;0.027000000000000003;;;;;
2020-03-15;;ГАС ООО;"Анкерно-угловая опора 1У110-7+5 Проект: 3.407.2-166 ; 4597/3-2-ВЛ-00-АС";2245.0;1.0;;0.4535045044595166;;;;
;;Лист 10 ГОСТ 19903-74 09Г2С-15 ГОСТ 19281-2014;;;;233.19299999999998;;;;;
;;Лист 16 ГОСТ 19903-74 09Г2С-15 ГОСТ 19281-2014;;;;32.650999999999996;;;;;
;;Уголок 40х40х4 ГОСТ 8509-86 09Г2С-15 ГОСТ 19281-2014;;;;69.26899999999999;;;;;
;;Уголок 80х80х6 ГОСТ 8509-86 09Г2С-15 ГОСТ 19281-2014;;;;1372.078;;;;;
;;Уголок 90х90х7 ГОСТ 8509-86 09Г2С-15 ГОСТ 19281-2014;;;;1195.164;;;;;
;;Уголок 160х160х10 ГОСТ 8509-86 09Г2С-15 ГОСТ 19281-2014;;;;861.209;;;;;
;;Уголок 180х180х11 ГОСТ 8509-86 09Г2С-15 ГОСТ 19281-2014;;;;723.393;;;;;
2020-03-12;;СТЭ ООО;Анкерно-угловая опора 1У110-3 Проект: 3.407.2-170;2249.0;1.0;;0.7832059536718446;;;;
;;Лист 16 ГОСТ 19903-74 09Г2С-12 ГОСТ 19281-2014;;;;22.509;;Изменение даты (11.03.2020->12.03.2020);;;
;;Лист 20 ГОСТ 19903-74 09Г2С-12 ГОСТ 19281-2014;;;;34.181999999999995;;Изменение даты (11.03.2020->12.03.2020);;;
;;Уголок 90х90х7 ГОСТ 8509-86 09Г2С-12 ГОСТ 19281-2014;;;;846.393;;Изменение даты (11.03.2020->12.03.2020);;;
2020-03-12;;СТЭ ООО;Анкерно-угловая опора 1У110-3+5 Проект: 3.407.2-170;2250.0;1.0;;0.6557683704103332;;;;
;;Лист 16 ГОСТ 19903-74 09Г2С-12 ГОСТ 19281-2014;;;;247.59900000000002;;Изменение даты (11.03.2020->12.03.2020);;;
;;Уголок 140х140х9 ГОСТ 8509-86 09Г2С-12 ГОСТ 19281-2014;;;;5731.134;;Изменение даты (11.03.2020->12.03.2020);;;
;;Уголок 63х63х5 ГОСТ 8509-86 09Г2С-12 ГОСТ 19281-2014;;;;7238.246;;Изменение даты (11.03.2020->12.03.2020);;;
;;Уголок 90х90х7 ГОСТ 8509-86 09Г2С-12 ГОСТ 19281-2014;;;;9310.323;;Изменение даты (11.03.2020->12.03.2020);;;
2020-03-12;;СТЭ ООО;Анкерно-угловая опора 1У110-3+10 Проект: 3.407.2-170;2251.0;1.0;;0.5513637859451446;;;;
;;Лист 16 ГОСТ 19903-74 09Г2С-12 ГОСТ 19281-2014;;;;22.509;;Изменение даты (11.03.2020->12.03.2020);;;
;;Уголок 140х140х9 ГОСТ 8509-86 09Г2С-12 ГОСТ 19281-2014;;;;696.6039999999999;;Изменение даты (11.03.2020->12.03.2020);;;
;;Уголок 63х63х5 ГОСТ 8509-86 09Г2С-12 ГОСТ 19281-2014;;;;658.3530000000001;;Изменение даты (11.03.2020->12.03.2020);;;
;;Уголок 160х160х10 ГОСТ 8509-86 09Г2С-12 ГОСТ 19281-2014;;;;630.2320000000002;;Изменение даты (11.03.2020->12.03.2020);;;
;;Уголок 90х90х7 ГОСТ 8509-86 09Г2С-12 ГОСТ 19281-2014;;;;1404.66;;Изменение даты (11.03.2020->12.03.2020);;;
2020-03-06;;СТЭ ООО;Подкладка М48 Проект: 3.407.9-146;2255.0;1.0;;0.0;;;;
;;Лист 16 ГОСТ 19903-74 09Г2С-12 ГОСТ 19281-2014;;;;248.25599999999997;;;;;
2020-03-15;;ЭнергоПроект-Инжиниринг ООО;Балка   Б235-20 Чертеж: 1182-2-2017-Р-ЭВ-01-Ч-005;2260.0;1.0;;0.7757803492890388;;;;
;;Швеллер 20 У ГОСТ 8240-89 09Г2С-12 ГОСТ 19281-2014;;;;378.07199999999995;;;;;
2020-03-14;;ТАВРИДА ЭЛЕКТРИК ОМСК ООО;Портал   ПС-35 ПР-1132-2017-Р-АС-01 изм.3;2270.0;1.0;;0.2837941219931809;;;;
;;Лист 8 ГОСТ 19903-74 09Г2С-12 ГОСТ 19281-2014;;;;124.859;;;;;
;;Лист 20 ГОСТ 19903-74 09Г2С-12 ГОСТ 19281-2014;;;;59.818000000000005;;;;;
;;Лист 10 ГОСТ 19903-74 09Г2С-12 ГОСТ 19281-2014;;;;10.558;;;;;
;;Уголок 63х63х5 ГОСТ 8509-86 09Г2С-12 ГОСТ 19281-2014;;;;1190.432;;;;;
;;Уголок 160х160х10 ГОСТ 8509-86 09Г2С-12 ГОСТ 19281-2014;;;;1452.1660000000002;;;;;
;;Уголок 90х90х7 ГОСТ 8509-86 09Г2С-12 ГОСТ 19281-2014;;;;2139.853;;;;;
2020-03-13;;ТАВРИДА ЭЛЕКТРИК ОМСК ООО;"Портал ячейковый ПСЛ-110Я2С Проект: 3.407.2-162 без молниеотвода ; Ростверк ТС-23С Проект: 3.";2271.0;1.0;;0.25580284205717874;;;;
;;Лист 8 ГОСТ 19903-74 09Г2С-12 ГОСТ 19281-2014;;;;61.27;;;;;
;;Лист 20 ГОСТ 19903-74 09Г2С-12 ГОСТ 19281-2014;;;;34.181999999999995;;;;;
;;Лист 10 ГОСТ 19903-74 09Г2С-12 ГОСТ 19281-2014;;;;7.763999999999999;;;;;
;;Уголок 110х110х8 ГОСТ 8509-86 09Г2С-12 ГОСТ 19281-2014;;;;911.112;;;;;
;;Уголок 63х63х5 ГОСТ 8509-86 09Г2С-12 ГОСТ 19281-2014;;;;548.112;;;;;
;;Уголок 160х160х10 ГОСТ 8509-86 09Г2С-12 ГОСТ 19281-2014;;;;829.81;;;;;
;;Уголок 90х90х7 ГОСТ 8509-86 09Г2С-12 ГОСТ 19281-2014;;;;1224.444;;;;;
2020-03-05;;ТАВРИДА ЭЛЕКТРИК ОМСК ООО;Прожекторная мачта ПМС-32,5 Проект: 3.407.9-172 с 5-ю промежуточными площадками ПР-1132-2017-;2272.0;1.0;;0.975440332889346;;;;
;;Лист 20 ГОСТ 19903-74 09Г2С-12 ГОСТ 19281-2014;;;;97.704;;Изменение потребности (84.824->97.704);;;
;;Лист 5 ГОСТ 19903-74 09Г2С-12 ГОСТ 19281-2014;;;;1.033;;;;;
;;Уголок 140х140х9 ГОСТ 8509-86 09Г2С-12 ГОСТ 19281-2014;;;;15.011;;;;;
;;Уголок 160х160х10 ГОСТ 8509-86 09Г2С-12 ГОСТ 19281-2014;;;;31.5;;;;;
;;Швеллер 8 П ГОСТ 8240-89 09Г2С-12 ГОСТ 19281-2014;;;;5.155;;;;;
;;Табличка 63х80 12Х18Н10Т;;;;0.02;;Не было в этом периоде;;;
2020-03-05;;НОВА ООО;"Фундамент ФС.219.1.L.S Проект: ОЭМЗ-ОГП-ТП.ФС.010.001 ; Фундамент ФП.219.1.L.S Проект: ОЭМЗ-О";2315.0;1.0;;0.3624469435085109;;;;
;;Труба 219х8 ГОСТ 10704-91 09Г2С-12 ГОСТ 19281-2014;;;;1515.28;;;;;
2020-03-06;;НОВА ООО;"Фундамент ФС.219.1.L.S Проект: ОЭМЗ-ОГП-ТП.ФС.010.001 ; Фундамент ФП.219.1.L.S Проект: ОЭМЗ-О";2317.0;1.0;;0.3624469435085109;;;;
;;Труба 219х8 ГОСТ 10704-91 09Г2С-12 ГОСТ 19281-2014;;;;116.56;;;;;
2020-03-15;;НОВА ООО;"Комплектная поставка: Опора анкерная АО35ГИ-1 для изолированного провода; Подвеска натяжная и";2320.0;1.0;;0.70779656093228;;;;
;;Лист 20 ГОСТ 19903-74 09Г2С-12 ГОСТ 19281-2014;;;;876.755;;;;;
;;Лист 5 ГОСТ 19903-74 09Г2С-12 ГОСТ 19281-2014;;;;79.62899999999999;;;;;
;;Лист 14 ГОСТ 19903-74 09Г2С-12 ГОСТ 19281-2014;;;;367.327;;;;;
;;Уголок 63х63х5 ГОСТ 8509-86 09Г2С-12 ГОСТ 19281-2014;;;;826.7660000000001;;;;;
;;Уголок 45х45х4 ГОСТ 8509-86 09Г2С-12 ГОСТ 19281-2014;;;;3812.2929999999997;;;;;
2020-03-04;;НОВА ООО;Фундамент ФС.530.3.L.S. Проект: ОЭМЗ-ОГП-ТП.ФС.010.001;2321.0;1.0;;0.8453259550466223;;;;
;;Лист 16 ГОСТ 19903-74 09Г2С-12 ГОСТ 19281-2014;;;;700.067;;Изменение даты (05.03.2020->04.03.2020);;;
;;Лист 20 ГОСТ 19903-74 09Г2С-12 ГОСТ 19281-2014;;;;470.977;;Изменение даты (05.03.2020->04.03.2020);;;
2020-03-06;;НОВА ООО;"Фундамент ФС.219.1.L.S Проект: ОЭМЗ-ОГП-ТП.ФС.010.001 ; Фундамент ФП.219.1.L.S Проект: ОЭМЗ-О";2323.0;1.0;;0.3624469435085109;;;;
;;Труба 219х8 ГОСТ 10704-91 09Г2С-12 ГОСТ 19281-2014;;;;174.84;;;;;
2020-03-03;;НОВА ООО;"Комплектная поставка: Опора анкерная угловая АУО10ГИ-1УМ для изолированного провода; Подвеска";2326.0;1.0;;0.3376824392583163;;;;
;;Лист 20 ГОСТ 19903-74 09Г2С-12 ГОСТ 19281-2014;;;;36.187;;;;;
;;Уголок 100х100х10 ГОСТ 8509-86 09Г2С-12 ГОСТ 19281-2014;;;;225.8220000000001;;;;;
;;Уголок 90х90х7 ГОСТ 8509-86 09Г2С-12 ГОСТ 19281-2014;;;;217.222;;;;;
;;Табличка 63х80 12Х18Н10Т;;;;0.02;;;;;
2020-03-06;;НОВА ООО;Фундамент ФС.530.1.L.S. Проект: ОЭМЗ-ОГП-ТП.ФС.010.001;2327.0;1.0;;0.362730431846889;;;;
;;Лист 20 ГОСТ 19903-74 09Г2С-12 ГОСТ 19281-2014;;;;109.48100000000001;;;;;
2020-03-03;;НОВА ООО;"Комплектная поставка: Опора промежуточная П10ГИ-7М для изолированного провода; Подвеска подде";2328.0;1.0;;0.9978361645546332;;;;
;;Лист 3 ГОСТ 19903-74 09Г2С-12 ГОСТ 19281-2014;;;;48.4;;;;;
;;Табличка 63х80 12Х18Н10Т;;;;1.28;;;;;
2020-03-06;;НОВА ООО;"Фундамент ФС.219.1.L.S Проект: ОЭМЗ-ОГП-ТП.ФС.010.001 ; Фундамент ФП.219.1.L.S Проект: ОЭМЗ-О";2331.0;1.0;;0.3624469435085109;;;;
;;Труба 219х8 ГОСТ 10704-91 09Г2С-12 ГОСТ 19281-2014;;;;1515.28;;;;;
2020-03-06;;НОВА ООО;"Фундамент ФС.219.1.L.S Проект: ОЭМЗ-ОГП-ТП.ФС.010.001 ; Фундамент ФП.219.1.L.S Проект: ОЭМЗ-О";2333.0;1.0;;0.3624469435085109;;;;
;;Труба 219х8 ГОСТ 10704-91 09Г2С-12 ГОСТ 19281-2014;;;;116.56;;;;;
2020-03-07;;НОВА ООО;Фундамент ФС.530.1.L.S. Проект: ОЭМЗ-ОГП-ТП.ФС.010.001;2335.0;1.0;;0.5498283272866065;;;;
;;Лист 20 ГОСТ 19903-74 09Г2С-12 ГОСТ 19281-2014;;;;1082.734;;;;;
2020-03-11;;НОВА ООО;"Комплектная поставка: Опора анкерная АО35ГИ-1 для изолированного провода; Подвеска натяжная и";2336.0;1.0;;0.70779656093228;;;;
;;Лист 20 ГОСТ 19903-74 09Г2С-12 ГОСТ 19281-2014;;;;784.465;;;;;
;;Лист 5 ГОСТ 19903-74 09Г2С-12 ГОСТ 19281-2014;;;;71.247;;;;;
;;Лист 14 ГОСТ 19903-74 09Г2С-12 ГОСТ 19281-2014;;;;328.661;;;;;
;;Уголок 63х63х5 ГОСТ 8509-86 09Г2С-12 ГОСТ 19281-2014;;;;739.738;;;;;
;;Уголок 45х45х4 ГОСТ 8509-86 09Г2С-12 ГОСТ 19281-2014;;;;3410.9990000000003;;;;;
2020-03-07;;НОВА ООО;"Фундамент ФС.219.1.L.S Проект: ОЭМЗ-ОГП-ТП.ФС.010.001 ; Фундамент ФП.219.1.L.S Проект: ОЭМЗ-О";2339.0;1.0;;0.3624469435085109;;;;
;;Труба 219х8 ГОСТ 10704-91 09Г2С-12 ГОСТ 19281-2014;;;;116.56;;;;;
2020-03-12;;НОВА ООО;"Комплектная поставка: Анкерно-угловая опора АУ35ГИ-1 для изолированного провода; Подвеска нат";2340.0;1.0;;0.6899256019789761;;;;
;;Лист 16 ГОСТ 19903-74 09Г2С-12 ГОСТ 19281-2014;;;;18.842;;;;;
;;Лист 20 ГОСТ 19903-74 09Г2С-12 ГОСТ 19281-2014;;;;46.145;;;;;
;;Лист 5 ГОСТ 19903-74 09Г2С-12 ГОСТ 19281-2014;;;;4.191;;;;;
;;Лист 14 ГОСТ 19903-74 09Г2С-12 ГОСТ 19281-2014;;;;19.333;;;;;
;;Уголок 63х63х5 ГОСТ 8509-86 09Г2С-12 ГОСТ 19281-2014;;;;43.513999999999996;;;;;
;;Уголок 45х45х4 ГОСТ 8509-86 09Г2С-12 ГОСТ 19281-2014;;;;200.64700000000002;;;;;
2020-03-06;;НОВА ООО;"Комплектная поставка: Опора промежуточная П10ГИ-7М для изолированного провода; Подвеска подде";2342.0;1.0;;0.9965295006383489;;;;
;;Лист 3 ГОСТ 19903-74 09Г2С-12 ГОСТ 19281-2014;;;;78.4;;;;;
;;Табличка 63х80 12Х18Н10Т;;;;1.28;;;;;
2020-03-10;;ПЦ СИБИРИ ООО;Анкерно-угловая опора 1У110-2+5 Проект: 3.407.2-170 без распорок на уровне башмаков;2356.0;1.0;;0.3856917035217672;;;;
;;Лист 16 ГОСТ 19903-74 09Г2С-12 ГОСТ 19281-2014;;;;22.581999999999997;;;;;
;;Лист 25 ГОСТ 19903-74 09Г2С-12 ГОСТ 19281-2014;;;;206.447;;;;;
;;Уголок 40х40х4 ГОСТ 8509-86 09Г2С-12 ГОСТ 19281-2014;;;;147.417;;;;;
;;Уголок 140х140х9 ГОСТ 8509-86 09Г2С-12 ГОСТ 19281-2014;;;;658.2130000000001;;;;;
;;Уголок 63х63х5 ГОСТ 8509-86 09Г2С-12 ГОСТ 19281-2014;;;;1091.185;;;;;
;;Уголок 80х80х6 ГОСТ 8509-86 09Г2С-12 ГОСТ 19281-2014;;;;529.352;;;;;
;;Уголок 160х160х10 ГОСТ 8509-86 09Г2С-12 ГОСТ 19281-2014;;;;566.2909999999999;;;;;
;;Уголок 90х90х7 ГОСТ 8509-86 09Г2С-12 ГОСТ 19281-2014;;;;572.196;;;;;
2020-03-10;;ПЦ СИБИРИ ООО;Анкерно-угловая опора УС110-8 Проект: 3079тм;2357.0;1.0;;0.9148116787729639;;;;
;;Лист 16 ГОСТ 19903-74 09Г2С-12 ГОСТ 19281-2014;;;;241.954;;;;;
;;Лист 24 ГОСТ 19903-74 09Г2С-12 ГОСТ 19281-2014;;;;235.007;;;;;
;;Уголок 110х110х8 ГОСТ 8509-86 09Г2С-12 ГОСТ 19281-2014;;;;561.6;;;;;
;;Табличка 63х80 12Х18Н10Т;;;;0.02;;;;;
2020-03-02;;МЕССОЯХАНЕФТЕГАЗ АО;"Промежуточная опора 1П110-6-8,5 Проект: 3.407.2-170 ; Кронштейн ВОЛС УК(У)-125 ТУ 3449-001-47";2367.0;1.0;;0.9979969650608;;;;
;;Уголок 90х90х7 ГОСТ 8509-86 С345-6 ГОСТ 27772-2015;;;;12.854000000000001;;;;;
2020-03-07;;СИБЭНЕРГОНАЛАДКА ООО;Портал   ПС-35Я1Са Чертеж 01-903/1399-С130-АС1. Сваи в поставку не входят;2391.0;1.0;;0.2644488868518826;;;;
;;Лист 20 ГОСТ 19903-74 09Г2С-12 ГОСТ 19281-2014;;;;19.574;;Изменение потребности (17.091->19.574);;;
;;Уголок 110х110х8 ГОСТ 8509-86 09Г2С-12 ГОСТ 19281-2014;;;;466.8;;Не было в этом периоде;;;
