Поряд_номер;Номер победы;Партия;Дата запуска;Код;Номенклатура;Количество в заказе;Перемещено;Дефицит;Заказ обеспечен;Пометка удаления;Заказчик;Спецификация;Дата начала факт;Приоритет;Дата поступления КМД;Количество штук;Изделие;Статус;Изделие.Вид номенклатуры;Заказ-Партия;Нельзя_заменять;Закуп подтвержден;Возможный заказ;Некомплектная_отгрузка;Полная_отгрузка;ТН;Списание из Цент склада;Списание из ТН;Списание из Поступлений;Остаток дефицита
2704;021799;1;2021-01-25 15:22:46.738113;00000011691;Гайка М24-6h.8.ГЦ ГОСТ ISO 4032-2014;99.08135942;0.0;0.0;0.0;0.0;МЭС  ООО;№50/09-18 от 05.09.2018, Спецификация №11 от 10.09.2020;2020-10-02 00:00:00;0.0;2020-09-23 00:00:00;1.0;Анкерно-угловая опора УС110-6 Проект: 3079тм Проект: Е085-19-Л35-ТКР;К производству;Продукция;021799-1;0;1.0;0.0;0;1.0;0.0;0.0;0.0;0.0;0.0
2705;02404;1;2021-01-25 15:22:46.738113;00-00001817;Болт М20-6gх60.8.8.ГЦ ГОСТ Р ИСО 4014-2013;155.71575695;0.0;155.71575695;0.0;0.0;ЭНЕРГОПРОЕКТ-ИНЖИНИРИНГ ООО;04/01-2020 от 31.01.2020, Спецификация №3 от 18.11.2020;2020-11-26 00:00:00;0.0;2020-11-23 00:00:00;7.0;Анкерно-угловая опора 1У110-3 Проект: 3.407.2-170;К производству;Продукция;02404-1;0;1.0;0.0;0;0.0;0.0;155.71575695;0.0;0.0;0.0
2711;02861;1;2021-01-25 15:22:46.738113;00000002418;Шайба 24 ГЦ ГОСТ 11371-78;2.20906282;0.0;0.0;0.0;1.0;МЕССОЯХАНЕФТЕГАЗ АО;ДП_50630_30915_19090  от 01.02.2016, Спецификация №Лот 1929 от 28.04.2020;0;0.0;0;11.0;"Опора анкерная (концевая) А10ГУ-1 Проект: ОЭМЗ-ОГП-ТП.ВЛ.010.001 ; Кронштейн ВОЛС КНГ-1СБ Про";К производству;Продукция;02861-1;0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0
7812;021595;2;2021-01-25 15:22:46.738113;00000002424;Шайба 20 ГЦ ГОСТ 6402-70;3.78166838;3.672;0.0;0.0;0.0;МЕССОЯХАНЕФТЕГАЗ АО;ДП_50630_30915_43837 от 05.12.2020, Спецификация №2 от 05.12.2020;2020-12-08 00:00:00;0.0;2020-11-19 00:00:00;72.0;"Опора промежуточная П10Г-8М Проект: ОЭМЗ-ОГП-ТП.ВЛ.010.001 ; Кронштейн ВОЛС КПГ-3СБМ Проект:";К производству;Продукция;021595-2;0;1.0;0.0;0;1.0;0.0;0.0;0.0;0.0;0.0
7810;022130;1;2021-01-25 15:22:46.738113;00-00001813;Болт М16-6gх50.8.8.ГЦ ГОСТ Р ИСО 4014-2013;15.65306122;0.0;15.65306122;0.0;0.0;СКН ООО;168320/00377Д от 03.11.2020, ОР № 1016019942 от 10.11.2020;2021-01-24 00:00:00;0.0;0;5.0;Анкерно-угловая опора У110-2 Проект: 3078тм 1683_1059ПЭ-37- ПП-ВЛ110.7.000-ТХ-01-ОЛ-007;К производству;Продукция;022130-1;0;1.0;0.0;0;0.0;0.0;15.65306122;0.0;0.0;0.0
7809;02404;1;2021-01-25 15:22:46.738113;00-00002591;Гайка М14-6h.8.ГЦ ГОСТ ISO 4032-2014;8.869;0.0;8.869;0.0;0.0;ЭНЕРГОПРОЕКТ-ИНЖИНИРИНГ ООО;04/01-2020 от 31.01.2020, Спецификация №3 от 18.11.2020;2020-11-26 00:00:00;0.0;2020-11-23 00:00:00;7.0;Анкерно-угловая опора 1У110-3 Проект: 3.407.2-170;К производству;Продукция;02404-1;0;1.0;0.0;0;0.0;0.0;8.869;0.0;0.0;0.0
7805;02411;1;2021-01-25 15:22:46.738113;00000010121;Шайба 30 ГЦ ГОСТ 11371-78;4.19670443;0.0;4.19670443;0.0;0.0;ЭНЕРГОПРОЕКТ-ИНЖИНИРИНГ ООО;04/01-2020 от 31.01.2020, Спецификация №3 от 18.11.2020;2020-11-26 00:00:00;0.0;2020-11-23 00:00:00;1.0;Анкерно-угловая опора У110-2 Проект: 3078тм;К производству;Продукция;02411-1;0;1.0;0.0;0;0.0;0.0;4.19670443;0.0;0.0;0.0
2721;021996;1;2021-01-25 15:22:46.738113;00-00001813;Болт М16-6gх50.8.8.ГЦ ГОСТ Р ИСО 4014-2013;2.31836735;0.0;2.31836735;0.0;0.0;ГАЗПРОМНЕФТЬ-ЯМАЛ ООО;ДП_57650_30915_31790 от 28.05.2018, Спецификация №36 (1670) от 21.12.2020;0;0.0;0;1.0;"Прожекторная мачта МПУ-21-В5 Проект: ОЭМЗ-КР-ТП.ПММ.001 с креплением для антенны радиосвязи;";К производству;Продукция;021996-1;0;1.0;0.0;0;0.0;0.0;2.31836735;0.0;0.0;0.0
7859;02402;1;2021-01-25 15:22:46.738113;00-00001816;Болт М20-6gх200.5.8.ГЦ ГОСТ Р ИСО 4014-2013;134.15859938;141.629;0.0;0.0;0.0;ЭНЕРГОПРОЕКТ-ИНЖИНИРИНГ ООО;04/01-2020 от 31.01.2020, Спецификация №3 от 18.11.2020;2020-11-23 00:00:00;0.0;2020-11-22 00:00:00;2.0;Анкерно-угловая опора У110-2+5 Проект: 3078тм;К производству;Продукция;02402-1;0;1.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0
7865;022157;1;2021-01-25 15:22:46.738113;00-00005706;Гайка М20-6h.5.ГЦ ГОСТ ISO 4032-2014;54.29969104;52.725;0.0;0.0;0.0;МЕССОЯХАНЕФТЕГАЗ АО;ДП_50630_30915_43837 от 05.12.2020, Спецификация №2 от 05.12.2020;2020-12-23 00:00:00;0.0;2020-12-21 00:00:00;3.0;"Анкерно-угловая опора У110-2 Проект: 3078тм 853.13-(Р1вз)-С142-АСЭ.ОЛ1; Кронштейн ВОЛС УК(У)";К производству;Продукция;022157-1;0;1.0;0.0;0;1.0;0.0;0.0;0.0;0.0;0.0
7866;021716;1;2021-01-25 15:22:46.738113;00000002423;Шайба 16 ГЦ ГОСТ 6402-70;1.25952626;1.223;0.0;0.0;0.0;РОССЕТИ СИБИРЬ ПАО;02.2200.2395.20 от 04.09.2020, Спецификация №1 от 04.09.2020;2020-10-02 00:00:00;0.0;2020-10-02 00:00:00;1.0;Анкерно-угловая опора У110-4 Проект: 3078тм усиленная (С9);К производству;Продукция;021716-1;0;1.0;0.0;0;1.0;0.0;0.0;0.0;0.0;0.0
2650;021605;1;2021-01-25 15:22:46.738113;00000011597;Болт М20-6gх65.8.8.ГЦ ГОСТ Р ИСО 4014-2013;5.64778579;5.484;0.16378579000000038;0.0;0.0;МЕССОЯХАНЕФТЕГАЗ АО;ДП_50630_30915_43837 от 05.12.2020, Спецификация №2 от 05.12.2020;2020-12-24 00:00:00;0.0;2020-12-23 00:00:00;6.0;"Опора анкерная угловая АУ10ГУ-1 Проект: ОЭМЗ-ОГП-ТП.ВЛ.010.001 ; Кронштейн ВОЛС КНГ-2СБ Прое";К производству;Продукция;021605-1;0;1.0;0.0;0;0.0;0.0;0.16378579000000038;0.0;0.0;0.0
2591;02849;1;2021-01-25 15:22:46.738113;00-00001828;Гайка М16-6h.8.ГЦ ГОСТ ISO 4032-2014;9.95262616;0.0;0.0;0.0;1.0;МЕССОЯХАНЕФТЕГАЗ АО;ДП_50630_30915_19090  от 01.02.2016, Спецификация №Лот 1929 от 28.04.2020;0;0.0;0;64.0;"Опора промежуточная П10Г-8М Проект: ОЭМЗ-ОГП-ТП.ВЛ.010.001 ; Кронштейн ВОЛС КПГ-3СБМ Проект:";К производству;Продукция;02849-1;0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0
2592;022122;1;2021-01-25 15:22:46.738113;00-00001937;Болт М24-6gх75.8.8.ГЦ ГОСТ Р ИСО 4014-2013;2539.456;0.0;2539.456;0.0;0.0;СКН ООО;168320/00377Д от 03.11.2020, ОР № 1016019942 от 10.11.2020;2021-01-15 00:00:00;0.0;2021-01-12 00:00:00;16.0;Анкерно-угловая опора У110-2 Проект: 3078тм 1683_1059ПЭ-37- ПП-ВЛ110.7.000-ТХ-01-ОЛ-001;К производству;Продукция;022122-1;0;1.0;0.0;0;0.0;0.0;2539.456;0.0;0.0;0.0
7917;022158;1;2021-01-25 15:22:46.738113;00000002421;Шайба 20 ГЦ ГОСТ 11371-78;1.57363543;1.528;0.0;0.0;0.0;КОМПАНИЯ ТЕСЕЙ ООО;86/11-20 от 05.11.2020, Спецификация №1 от 05.11.2020;2020-11-23 00:00:00;0.0;2020-11-20 00:00:00;1.0;Промежуточная опора П220-2 Проект: 3080тм;К производству;Продукция;022158-1;0;1.0;0.0;0;1.0;0.0;0.0;0.0;0.0;0.0
7914;021972;1;2021-01-25 15:22:46.738113;00000002423;Шайба 16 ГЦ ГОСТ 6402-70;25.07312049;0.0;0.0;0.0;0.0;РН-УВАТНЕФТЕГАЗ ООО;2;0;0.0;0;14.0;Промежуточная опора 1П110-6-3,2 Проект: 3.407.2-170;Закрыт;Продукция;021972-1;0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0
7911;021876;1;2021-01-25 15:22:46.738113;00-00001828;Гайка М16-6h.8.ГЦ ГОСТ ISO 4032-2014;9.76107106;9.478;0.0;0.0;0.0;ДРСК АО;320 от 12.10.2020, Спецификация №1 от 12.10.2020;2020-12-29 00:00:00;0.0;2020-11-18 00:00:00;7.0;Опора промежуточная ПГ35/110-1,110Т Проект: ОЭМЗ-КР-ТП.ВЛ.35/110/220.001;К производству;Продукция;021876-1;0;1.0;0.0;0;1.0;0.0;0.0;0.0;0.0;0.0
7905;02867;1;2021-01-25 15:22:46.738113;00000002424;Шайба 20 ГЦ ГОСТ 6402-70;0.26261586;0.0;0.0;0.0;1.0;МЕССОЯХАНЕФТЕГАЗ АО;ДП_50630_30915_19090  от 01.02.2016, Спецификация №Лот 1929 от 28.04.2020;0;0.0;0;5.0;"Опора анкерная (концевая) А10ГУ-1 Проект: ОЭМЗ-ОГП-ТП.ВЛ.010.001 ; Установка разъединителя на";К производству;Продукция;02867-1;0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0
2614;022123;1;2021-01-25 15:22:46.738113;00000011691;Гайка М24-6h.8.ГЦ ГОСТ ISO 4032-2014;995.36663234;0.0;995.36663234;0.0;0.0;СКН ООО;168320/00377Д от 03.11.2020, ОР № 1016019942 от 10.11.2020;2021-01-14 00:00:00;0.0;2021-01-12 00:00:00;9.0;Анкерно-угловая опора У110-2 Проект: 3078тм 1683_1059ПЭ-37- ПП-ВЛ110.7.000-ТХ-01-ОЛ-001;К производству;Продукция;022123-1;0;1.0;0.0;0;0.0;0.0;995.36663234;0.0;0.0;0.0
2620;022122;1;2021-01-25 15:22:46.738113;00000002418;Шайба 24 ГЦ ГОСТ 11371-78;930.9330587;0.0;930.9330587;0.0;0.0;СКН ООО;168320/00377Д от 03.11.2020, ОР № 1016019942 от 10.11.2020;2021-01-15 00:00:00;0.0;2021-01-12 00:00:00;16.0;Анкерно-угловая опора У110-2 Проект: 3078тм 1683_1059ПЭ-37- ПП-ВЛ110.7.000-ТХ-01-ОЛ-001;К производству;Продукция;022122-1;0;1.0;0.0;0;0.0;0.0;930.9330587;0.0;0.0;0.0
2722;022130;1;2021-01-25 15:22:46.738113;00-00001828;Гайка М16-6h.8.ГЦ ГОСТ ISO 4032-2014;38.92893924;0.0;38.92893924;0.0;0.0;СКН ООО;168320/00377Д от 03.11.2020, ОР № 1016019942 от 10.11.2020;2021-01-24 00:00:00;0.0;0;5.0;Анкерно-угловая опора У110-2 Проект: 3078тм 1683_1059ПЭ-37- ПП-ВЛ110.7.000-ТХ-01-ОЛ-007;К производству;Продукция;022130-1;0;1.0;0.0;0;0.0;0.0;38.92893924;0.0;0.0;0.0
2621;02855;1;2021-01-25 15:22:46.738113;00000011693;Шпилька по чертежу Ш-1 М24х350.40Х.ГЦ ДК10-Ш-1.02;3.72;0.0;0.0;0.0;1.0;МЕССОЯХАНЕФТЕГАЗ АО;ДП_50630_30915_19090  от 01.02.2016, Спецификация №Лот 1929 от 28.04.2020;0;0.0;0;3.0;"Опора анкерная угловая АУ10ГУ-1 Проект: ОЭМЗ-ОГП-ТП.ВЛ.010.001 ; Кронштейн ВОЛС КНГ-2СБ Проек";К производству;Продукция;02855-1;0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0
7888;022126;1;2021-01-25 15:22:46.738113;00000002424;Шайба 20 ГЦ ГОСТ 6402-70;2.39237899;0.0;2.39237899;0.0;0.0;СКН ООО;168320/00377Д от 03.11.2020, ОР № 1016019942 от 10.11.2020;2021-01-23 00:00:00;0.0;2021-01-22 00:00:00;1.0;Анкерно-угловая опора У110-2 Проект: 3078тм 1683_1059ПЭ-37-Р-ВЛ110.7.000-КС-01-ОЛ-012;К производству;Продукция;022126-1;0;1.0;0.0;0;0.0;0.0;2.39237899;0.0;0.0;0.0
2629;022129;1;2021-01-25 15:22:46.738113;00-00001814;Болт М16-6gх55.8.8.ГЦ ГОСТ Р ИСО 4014-2013;122.74489796;120.29;2.4548979599999967;0.0;0.0;СКН ООО;168320/00377Д от 03.11.2020, ОР № 1016019942 от 10.11.2020;2021-01-12 00:00:00;0.0;2021-01-12 00:00:00;10.0;Анкерно-угловая опора У110-2 Проект: 3078тм 1683_1059ПЭ-37- ПП-ВЛ110.7.000-ТХ-01-ОЛ-001;К производству;Продукция;022129-1;0;1.0;0.0;0;0.0;0.0;2.4548979599999967;0.0;0.0;0.0
2631;021970;1;2021-01-25 15:22:46.738113;00000010122;Шайба 30 ГЦ ГОСТ 6402-70;2.57466529;0.0;0.0;0.0;0.0;РН-УВАТНЕФТЕГАЗ ООО;2;0;0.0;0;4.0;Анкерно-угловая опора 1У110-2+5 Проект: 3.407.2-170;Закрыт;Продукция;021970-1;0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0
2632;022132;1;2021-01-25 15:22:46.738113;00-00001937;Болт М24-6gх75.8.8.ГЦ ГОСТ Р ИСО 4014-2013;651.776;0.0;651.776;0.0;0.0;СКН ООО;168320/00377Д от 03.11.2020, ОР № 1016019942 от 10.11.2020;2021-01-19 00:00:00;0.0;2021-01-19 00:00:00;4.0;Анкерно-угловая опора У110-2+14 Проект: 3078тм 1683_1059ПЭ- 37-ПП-ВЛ110.7.000-ТХ-01-ОЛ-004;К производству;Продукция;022132-1;0;1.0;0.0;0;0.0;0.0;651.776;0.0;0.0;0.0
7873;022129;1;2021-01-25 15:22:46.738113;00000002418;Шайба 24 ГЦ ГОСТ 11371-78;581.83316169;564.96;16.87316168999996;0.0;0.0;СКН ООО;168320/00377Д от 03.11.2020, ОР № 1016019942 от 10.11.2020;2021-01-12 00:00:00;0.0;2021-01-12 00:00:00;10.0;Анкерно-угловая опора У110-2 Проект: 3078тм 1683_1059ПЭ-37- ПП-ВЛ110.7.000-ТХ-01-ОЛ-001;К производству;Продукция;022129-1;0;1.0;0.0;0;0.0;0.0;16.87316168999996;0.0;0.0;0.0
2646;021599;1;2021-01-25 15:22:46.738113;00-00001814;Болт М16-6gх55.8.8.ГЦ ГОСТ Р ИСО 4014-2013;35.70612245;0.0;35.70612245;0.0;0.0;МЕССОЯХАНЕФТЕГАЗ АО;ДП_50630_30915_43837 от 05.12.2020, Спецификация №2 от 05.12.2020;2021-01-08 00:00:00;0.0;2020-12-24 00:00:00;72.0;"Опора промежуточная П10Г-8М Проект: ОЭМЗ-ОГП-ТП.ВЛ.010.001 ; Кронштейн ВОЛС КПГ-3СБМ Проект:";К производству;Продукция;021599-1;0;1.0;0.0;0;0.0;0.0;35.70612245;0.0;0.0;0.0
2648;00226;1;2021-01-25 15:22:46.738113;00000018002;Гайка М16-6h.6.ГЦ ГОСТ 5915-70;66.93202884;0.0;66.93202884;0.0;0.0;0;0;0;0.0;0;1.0;Упаковка на Сургут;К производству;Упаковка собственного производства;00226-1;0;1.0;0.0;0;0.0;0.0;66.93202884;0.0;0.0;0.0
2649;021707;1;2021-01-25 15:22:46.738113;00-00001827;Болт М27-6gх95.8.8.ГЦ ГОСТ Р ИСО 4014-2013;385.34500515;0.0;0.0;0.0;0.0;ЭЛЕКТРОСЕРВИС-Р ООО;57/08-19 от 21.08.2020, Спецификация №1 от 10.09.2020;2020-09-30 00:00:00;0.0;2020-09-20 00:00:00;5.0;Анкерно-угловая опора У220-1т+5 Проект: 3080тм, 9253тм;К производству;Продукция;021707-1;0;1.0;0.0;0;1.0;0.0;0.0;0.0;0.0;0.0
2623;02842;1;2021-01-25 15:22:46.738113;00000008713;Шайба 12 ГЦ ГОСТ 11371-78;0.10504634;0.0;0.0;0.0;1.0;МЕССОЯХАНЕФТЕГАЗ АО;ДП_50630_30915_19090  от 01.02.2016, Спецификация №Лот 1929 от 28.04.2020;0;0.0;0;2.0;"Опора анкерная угловая АУО10Г-1УМ Проект: ОЭМЗ-ОГП-ТП.ВЛ.010.001 ; Кронштейн ВОЛС КНР-90-4 Пр";К производству;Продукция;02842-1;0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0
7925;02951;1;2021-01-25 15:22:46.738113;00-00007123;Болт М20-6gх200.5.6.ГЦ ГОСТ Р ИСО 4014-2013;185.04634398;179.68;0.0;0.0;0.0;СУРГУТНЕФТЕГАЗ ПАО;Договор № 2697/У от 26.06.2020, Спецификация №1 от 26.06.2020;0;0.0;0;2.0;Анкерно-угловая опора У110-2+9 Проект: 3078тм;Закрыт;Продукция;02951-1;0;0.0;1.0;0;1.0;0.0;0.0;0.0;0.0;0.0
2725;02849;1;2021-01-25 15:22:46.738113;00000008713;Шайба 12 ГЦ ГОСТ 11371-78;1.2523172;0.0;0.0;0.0;1.0;МЕССОЯХАНЕФТЕГАЗ АО;ДП_50630_30915_19090  от 01.02.2016, Спецификация №Лот 1929 от 28.04.2020;0;0.0;0;64.0;"Опора промежуточная П10Г-8М Проект: ОЭМЗ-ОГП-ТП.ВЛ.010.001 ; Кронштейн ВОЛС КПГ-3СБМ Проект:";К производству;Продукция;02849-1;0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0
2730;021595;4;2021-01-25 15:22:46.738113;00-00001828;Гайка М16-6h.8.ГЦ ГОСТ ISO 4032-2014;11.19670443;10.872;0.0;0.0;0.0;МЕССОЯХАНЕФТЕГАЗ АО;ДП_50630_30915_43837 от 05.12.2020, Спецификация №2 от 05.12.2020;2020-12-11 00:00:00;0.0;2020-11-19 00:00:00;72.0;"Опора промежуточная П10Г-8М Проект: ОЭМЗ-ОГП-ТП.ВЛ.010.001 ; Кронштейн ВОЛС КПГ-3СБМ Проект:";К производству;Продукция;021595-4;0;1.0;0.0;0;1.0;0.0;0.0;0.0;0.0;0.0
7732;02857;1;2021-01-25 15:22:46.738113;00000011693;Шпилька по чертежу Ш-1 М24х350.40Х.ГЦ ДК10-Ш-1.02;39.68;0.0;0.0;0.0;1.0;МЕССОЯХАНЕФТЕГАЗ АО;ДП_50630_30915_19090  от 01.02.2016, Спецификация №Лот 1929 от 28.04.2020;0;0.0;0;32.0;"Опора анкерная угловая АУ10ГУ-1 Проект: ОЭМЗ-ОГП-ТП.ВЛ.010.001 ; Кронштейн ВОЛС КНГ-2СБ Проек";К производству;Продукция;02857-1;0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0
2812;02853;1;2021-01-25 15:22:46.738113;00000002424;Шайба 20 ГЦ ГОСТ 6402-70;4.72708548;0.0;0.0;0.0;1.0;МЕССОЯХАНЕФТЕГАЗ АО;ДП_50630_30915_19090  от 01.02.2016, Спецификация №Лот 1929 от 28.04.2020;0;0.0;0;90.0;"Опора промежуточная П10Г-8М Проект: ОЭМЗ-ОГП-ТП.ВЛ.010.001 ; Кронштейн ВОЛС КПГ-3СБМ Проект:";К производству;Продукция;02853-1;0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0
7724;02867;1;2021-01-25 15:22:46.738113;00-00003732;Гайка М12-6h.8.ГЦ ГОСТ ISO 4032-2014;0.8084449;0.0;0.0;0.0;1.0;МЕССОЯХАНЕФТЕГАЗ АО;ДП_50630_30915_19090  от 01.02.2016, Спецификация №Лот 1929 от 28.04.2020;0;0.0;0;5.0;"Опора анкерная (концевая) А10ГУ-1 Проект: ОЭМЗ-ОГП-ТП.ВЛ.010.001 ; Установка разъединителя на";К производству;Продукция;02867-1;0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0
2823;02845;1;2021-01-25 15:22:46.738113;00000011594;Гайка М20-6h.8.ГЦ ГОСТ ISO 4032-2014;1.47270855;0.0;0.0;0.0;1.0;МЕССОЯХАНЕФТЕГАЗ АО;ДП_50630_30915_19090  от 01.02.2016, Спецификация №Лот 1929 от 28.04.2020;0;0.0;0;5.0;"Опора анкерная (концевая) АО10Г-1УМ Проект: ОЭМЗ-ОГП-ТП.ВЛ.010.001 ; Кронштейн ВОЛС КНР-90-2";К производству;Продукция;02845-1;0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0
